inputText,targetArtifactId,targetCategory,targetWorkspace,targetPack,targetProduct,labelType,confidence
tool|Diagnostic|iot|operations|hospital-operations|cardiology|clinical|diagnostic|medical-iot|maps|cardiology-pack|medical-iot-pack|digital-twin-pack,cardiac-telemetry-analyzer,Diagnostic,iot|operations|hospital-operations|cardiology|clinical|diagnostic|medical-iot|maps,cardiology-pack|medical-iot-pack|hospital-operations|digital-twin-pack,product-cardiology|product-medical-iot|product-hospital-operations|product-digital-twin,tags,0.78
"Telemetry review workflow for rhythm events, sustained alerts, artifact concerns, and human-reviewed escalation summaries.",cardiac-telemetry-analyzer,Diagnostic,iot|operations|hospital-operations|cardiology|clinical|diagnostic|medical-iot|maps,cardiology-pack|medical-iot-pack|hospital-operations|digital-twin-pack,product-cardiology|product-medical-iot|product-hospital-operations|product-digital-twin,intent,0.88
Cardiology Command Center,cardiology-command-center,Diagnostic,iot|operations|hospital-operations|cardiology|clinical|diagnostic|medical-iot|maps,cardiology-pack|medical-iot-pack|hospital-operations|digital-twin-pack,product-cardiology|product-medical-iot|product-hospital-operations|product-digital-twin,name,0.92
/tools/cardiology/cardiology-command-center,cardiology-command-center,Diagnostic,iot|operations|hospital-operations|cardiology|clinical|diagnostic|medical-iot|maps,cardiology-pack|medical-iot-pack|hospital-operations|digital-twin-pack,product-cardiology|product-medical-iot|product-hospital-operations|product-digital-twin,route,0.9
tool|Diagnostic|iot|operations|hospital-operations|cardiology|clinical|diagnostic|medical-iot|maps|cardiology-pack|medical-iot-pack|digital-twin-pack,cardiology-command-center,Diagnostic,iot|operations|hospital-operations|cardiology|clinical|diagnostic|medical-iot|maps,cardiology-pack|medical-iot-pack|hospital-operations|digital-twin-pack,product-cardiology|product-medical-iot|product-hospital-operations|product-digital-twin,tags,0.78
"Cardiology operations command center for ACS queues, telemetry risk, remote monitoring alerts, and unresolved human-review items.",cardiology-command-center,Diagnostic,iot|operations|hospital-operations|cardiology|clinical|diagnostic|medical-iot|maps,cardiology-pack|medical-iot-pack|hospital-operations|digital-twin-pack,product-cardiology|product-medical-iot|product-hospital-operations|product-digital-twin,intent,0.88
Care Plan View,care-plan-view,Patient Workspace,clinical|operations,core-platform,product-core-platform,name,0.92
/patients/:patientId/care-plan,care-plan-view,Patient Workspace,clinical|operations,core-platform,product-core-platform,route,0.9
tool|Patient Workspace|clinical|operations|core-platform,care-plan-view,Patient Workspace,clinical|operations,core-platform,product-core-platform,tags,0.78
Display human-authored or imported care plan tasks without generating or changing orders.,care-plan-view,Patient Workspace,clinical|operations,core-platform,product-core-platform,intent,0.88
Centor / McIsaac,centor-mcisaac,Calculator,iot|operations|hospital-operations|pharmacy|clinical|calculator|laboratory|medical-iot|maps,laboratory-intelligence|medical-iot-pack|hospital-operations|digital-twin-pack,product-laboratory|product-medical-iot|product-hospital-operations|product-digital-twin,name,0.92
/tools/calculators/centor-mcisaac,centor-mcisaac,Calculator,iot|operations|hospital-operations|pharmacy|clinical|calculator|laboratory|medical-iot|maps,laboratory-intelligence|medical-iot-pack|hospital-operations|digital-twin-pack,product-laboratory|product-medical-iot|product-hospital-operations|product-digital-twin,route,0.9
calculator|Calculator|iot|operations|hospital-operations|pharmacy|clinical|laboratory|medical-iot|maps|laboratory-intelligence|medical-iot-pack|digital-twin-pack,centor-mcisaac,Calculator,iot|operations|hospital-operations|pharmacy|clinical|calculator|laboratory|medical-iot|maps,laboratory-intelligence|medical-iot-pack|hospital-operations|digital-twin-pack,product-laboratory|product-medical-iot|product-hospital-operations|product-digital-twin,tags,0.78
Modified Centor (McIsaac) score for streptococcal pharyngitis probability (0–5).,centor-mcisaac,Calculator,iot|operations|hospital-operations|pharmacy|clinical|calculator|laboratory|medical-iot|maps,laboratory-intelligence|medical-iot-pack|hospital-operations|digital-twin-pack,product-laboratory|product-medical-iot|product-hospital-operations|product-digital-twin,intent,0.88
CHADS2,chads2,Calculator,cardiology|clinical|emergency|calculator,emergency-medicine|emergency-department-pack|cardiology-pack,product-emergency-department|product-cardiology,name,0.92
/tools/calculators/chads2,chads2,Calculator,cardiology|clinical|emergency|calculator,emergency-medicine|emergency-department-pack|cardiology-pack,product-emergency-department|product-cardiology,route,0.9
calculator|Calculator|cardiology|clinical|emergency|emergency-medicine|emergency-department-pack|cardiology-pack,chads2,Calculator,cardiology|clinical|emergency|calculator,emergency-medicine|emergency-department-pack|cardiology-pack,product-emergency-department|product-cardiology,tags,0.78
"Older atrial fibrillation stroke-risk score using CHF, hypertension, age, diabetes, and stroke/TIA history. Does not recommend anticoagulation.",chads2,Calculator,cardiology|clinical|emergency|calculator,emergency-medicine|emergency-department-pack|cardiology-pack,product-emergency-department|product-cardiology,intent,0.88
Child-Pugh,child-pugh,Calculator,pediatrics|clinical|calculator|operations,core-platform,product-core-platform,name,0.92
/tools/calculators/child-pugh,child-pugh,Calculator,pediatrics|clinical|calculator|operations,core-platform,product-core-platform,route,0.9
calculator|Calculator|pediatrics|clinical|operations|core-platform,child-pugh,Calculator,pediatrics|clinical|calculator|operations,core-platform,product-core-platform,tags,0.78
"Cirrhosis severity (Child–Turcotte–Pugh): bilirubin, albumin, INR or PT prolongation, ascites, hepatic encephalopathy — total 5–15 and class A/B/C.",child-pugh,Calculator,pediatrics|clinical|calculator|operations,core-platform,product-core-platform,intent,0.88
Cirrhosis Monitoring Engine,cirrhosis-monitoring-engine,Reference,pediatrics|clinical|reference|operations,core-platform,product-core-platform,name,0.92
/tools/gastroenterology/cirrhosis-monitoring-engine,cirrhosis-monitoring-engine,Reference,pediatrics|clinical|reference|operations,core-platform,product-core-platform,route,0.9
tool|Reference|pediatrics|clinical|reference|operations|core-platform,cirrhosis-monitoring-engine,Reference,pediatrics|clinical|reference|operations,core-platform,product-core-platform,tags,0.78
"Cirrhosis monitoring workspace for decompensation features, liver scores, surveillance gaps, and review queues.",cirrhosis-monitoring-engine,Reference,pediatrics|clinical|reference|operations,core-platform,product-core-platform,intent,0.88
CKD Progression Predictor,ckd-progression-predictor,Reference,clinical|reference|operations,core-platform,product-core-platform,name,0.92
/tools/nephrology/ckd-progression-predictor,ckd-progression-predictor,Reference,clinical|reference|operations,core-platform,product-core-platform,route,0.9
tool|Reference|clinical|reference|operations|core-platform,ckd-progression-predictor,Reference,clinical|reference|operations,core-platform,product-core-platform,tags,0.78
"CKD progression workspace for eGFR slope, albuminuria, KFRE context, and longitudinal review prompts.",ckd-progression-predictor,Reference,clinical|reference|operations,core-platform,product-core-platform,intent,0.88
CKD staging (KDIGO),ckd-staging,Calculator,pharmacy|clinical|calculator|laboratory,laboratory-intelligence,product-laboratory,name,0.92
/tools/calculators/ckd-staging,ckd-staging,Calculator,pharmacy|clinical|calculator|laboratory,laboratory-intelligence,product-laboratory,route,0.9
calculator|Calculator|pharmacy|clinical|laboratory|laboratory-intelligence,ckd-staging,Calculator,pharmacy|clinical|calculator|laboratory,laboratory-intelligence,product-laboratory,tags,0.78
"Decision support: KDIGO CKD stage and staging (CKD-EPI 2021 eGFR, ACR, G×A prognostic risk). Does not establish chronicity or recommend dialysis or drug therapy.",ckd-staging,Calculator,pharmacy|clinical|calculator|laboratory,laboratory-intelligence,product-laboratory,intent,0.88
Clinical Audit,clinical-audit,Reference,admin|research|reference|governance|audit|assistant|ai-workflow|clinical|operations|education,governance-compliance-pack|ai-workflow-pack|core-platform|research-education,product-governance|product-core-platform|product-research,name,0.92
/tools/clinical-audit,clinical-audit,Reference,admin|research|reference|governance|audit|assistant|ai-workflow|clinical|operations|education,governance-compliance-pack|ai-workflow-pack|core-platform|research-education,product-governance|product-core-platform|product-research,route,0.9
governance|Reference|admin|research|reference|audit|assistant|ai-workflow|clinical|operations|education|governance-compliance-pack|ai-workflow-pack|core-platform|research-education,clinical-audit,Reference,admin|research|reference|governance|audit|assistant|ai-workflow|clinical|operations|education,governance-compliance-pack|ai-workflow-pack|core-platform|research-education,product-governance|product-core-platform|product-research,tags,0.78
Clinical Decision Support Engine,clinical-decision-support,Diagnostic,clinical|diagnostic|assistant|ai-workflow|operations|laboratory,ai-workflow-pack|core-platform|laboratory-intelligence,product-core-platform|product-laboratory,name,0.92
/clinical-decision-support,clinical-decision-support,Diagnostic,clinical|diagnostic|assistant|ai-workflow|operations|laboratory,ai-workflow-pack|core-platform|laboratory-intelligence,product-core-platform|product-laboratory,route,0.9
tool|Diagnostic|clinical|diagnostic|assistant|ai-workflow|operations|laboratory|ai-workflow-pack|core-platform|laboratory-intelligence,clinical-decision-support,Diagnostic,clinical|diagnostic|assistant|ai-workflow|operations|laboratory,ai-workflow-pack|core-platform|laboratory-intelligence,product-core-platform|product-laboratory,tags,0.78
"Patient-context-aware decision support for symptom intake, risk stratification, calculator recommendations, workflow, labs, imaging, escalation, and explainability.",clinical-decision-support,Diagnostic,clinical|diagnostic|assistant|ai-workflow|operations|laboratory,ai-workflow-pack|core-platform|laboratory-intelligence,product-core-platform|product-laboratory,intent,0.88
Clinical Dictation,clinical-dictation,Documentation,clinical|operations,core-platform,product-core-platform,name,0.92
/tools/clinical-dictation,clinical-dictation,Documentation,clinical|operations,core-platform,product-core-platform,route,0.9
tool|Documentation|clinical|operations|core-platform,clinical-dictation,Documentation,clinical|operations,core-platform,product-core-platform,tags,0.78
Capture dictation and produce structured draft documentation for review.,clinical-dictation,Documentation,clinical|operations,core-platform,product-core-platform,intent,0.88
Clinical Documentation Assistant,clinical-documentation-assistant,Reference,clinical|reference|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,name,0.92
/documentation,clinical-documentation-assistant,Reference,clinical|reference|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,route,0.9
tool|Reference|clinical|reference|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,clinical-documentation-assistant,Reference,clinical|reference|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,tags,0.78
"AI-assisted documentation surface for SOAP notes, H&P notes, progress notes, discharge summaries, consultation notes, procedure notes, encounter summaries, patient instructions, and exportable clinician-reviewed drafts.",clinical-documentation-assistant,Reference,clinical|reference|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,intent,0.88
Clinical Event AI,clinical-event-ai,Other,clinical|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,name,0.92
/patients/:patientId/events,clinical-event-ai,Other,clinical|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,route,0.9
tool|Other|clinical|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,clinical-event-ai,Other,clinical|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,tags,0.78
Draft event summaries and missing-context prompts for human review.,clinical-event-ai,Other,clinical|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,intent,0.88
Clinical Governance,clinical-governance,Governance,admin|governance|audit,governance-compliance-pack,product-governance,name,0.92
/governance/clinical,clinical-governance,Governance,admin|governance|audit,governance-compliance-pack,product-governance,route,0.9
governance|Governance|admin|audit|governance-compliance-pack,clinical-governance,Governance,admin|governance|audit,governance-compliance-pack,product-governance,tags,0.78
Clinical Knowledge Graph,clinical-knowledge-graph,Reference,iot|operations|hospital-operations|simulation|education|clinical|training|reference|research|assistant|ai-workflow|laboratory|medical-iot|maps,research-education|ai-workflow-pack|core-platform|laboratory-intelligence|medical-iot-pack|hospital-operations|digital-twin-pack|simulation-training-pack,product-research|product-core-platform|product-laboratory|product-medical-iot|product-hospital-operations|product-digital-twin|product-simulation-training,name,0.92
/knowledge-graph,clinical-knowledge-graph,Reference,iot|operations|hospital-operations|simulation|education|clinical|training|reference|research|assistant|ai-workflow|laboratory|medical-iot|maps,research-education|ai-workflow-pack|core-platform|laboratory-intelligence|medical-iot-pack|hospital-operations|digital-twin-pack|simulation-training-pack,product-research|product-core-platform|product-laboratory|product-medical-iot|product-hospital-operations|product-digital-twin|product-simulation-training,route,0.9
tool|Reference|iot|operations|hospital-operations|simulation|education|clinical|training|reference|research|assistant|ai-workflow|laboratory|medical-iot|maps|research-education|ai-workflow-pack|core-platform|laboratory-intelligence|medical-iot-pack|digital-twin-pack|simulation-training-pack,clinical-knowledge-graph,Reference,iot|operations|hospital-operations|simulation|education|clinical|training|reference|research|assistant|ai-workflow|laboratory|medical-iot|maps,research-education|ai-workflow-pack|core-platform|laboratory-intelligence|medical-iot-pack|hospital-operations|digital-twin-pack|simulation-training-pack,product-research|product-core-platform|product-laboratory|product-medical-iot|product-hospital-operations|product-digital-twin|product-simulation-training,tags,0.78
"Graph explorer connecting assets, packs, products, workspaces, roles, routes, simulations, workflows, AI agents, and integrations with relationship search and explainability.",clinical-knowledge-graph,Reference,iot|operations|hospital-operations|simulation|education|clinical|training|reference|research|assistant|ai-workflow|laboratory|medical-iot|maps,research-education|ai-workflow-pack|core-platform|laboratory-intelligence|medical-iot-pack|hospital-operations|digital-twin-pack|simulation-training-pack,product-research|product-core-platform|product-laboratory|product-medical-iot|product-hospital-operations|product-digital-twin|product-simulation-training,intent,0.88
Clinical Reasoning Engine,clinical-reasoning-engine,Other,clinical|operations,core-platform,product-core-platform,name,0.92
/tools/clinical-reasoning-engine,clinical-reasoning-engine,Other,clinical|operations,core-platform,product-core-platform,route,0.9
tool|Other|clinical|operations|core-platform,clinical-reasoning-engine,Other,clinical|operations,core-platform,product-core-platform,tags,0.78
"Separate facts, assumptions, missing data, uncertainty, and draft reasoning support.",clinical-reasoning-engine,Other,clinical|operations,core-platform,product-core-platform,intent,0.88
Clinical Release Gates,clinical-release-gates,Governance,admin|governance|audit,governance-compliance-pack,product-governance,name,0.92
/governance/clinical/release-gates,clinical-release-gates,Governance,admin|governance|audit,governance-compliance-pack,product-governance,route,0.9
governance|Governance|admin|audit|governance-compliance-pack,clinical-release-gates,Governance,admin|governance|audit,governance-compliance-pack,product-governance,tags,0.78
Clinical Safety Audit,clinical-safety-audit,Governance,admin|governance|audit,governance-compliance-pack,product-governance,name,0.92
/governance/clinical-safety,clinical-safety-audit,Governance,admin|governance|audit,governance-compliance-pack,product-governance,route,0.9
governance|Governance|admin|audit|governance-compliance-pack,clinical-safety-audit,Governance,admin|governance|audit,governance-compliance-pack,product-governance,tags,0.78
Clinical Safety Findings,clinical-safety-findings,Governance,admin|governance|audit,governance-compliance-pack,product-governance,name,0.92
/governance/clinical/safety-findings,clinical-safety-findings,Governance,admin|governance|audit,governance-compliance-pack,product-governance,route,0.9
governance|Governance|admin|audit|governance-compliance-pack,clinical-safety-findings,Governance,admin|governance|audit,governance-compliance-pack,product-governance,tags,0.78
Cognitive Screening Assistant,cognitive-screening-assistant,Calculator,admin|calculator|assistant|ai-workflow|clinical|operations,ai-workflow-pack|core-platform,product-core-platform,name,0.92
/tools/psychiatry/cognitive-screening-assistant,cognitive-screening-assistant,Calculator,admin|calculator|assistant|ai-workflow|clinical|operations,ai-workflow-pack|core-platform,product-core-platform,route,0.9
ai-assisted-tool|Calculator|admin|calculator|assistant|ai-workflow|clinical|operations|ai-workflow-pack|core-platform,cognitive-screening-assistant,Calculator,admin|calculator|assistant|ai-workflow|clinical|operations,ai-workflow-pack|core-platform,product-core-platform,tags,0.78
"Guided cognitive screening workflow for MMSE score entry, MoCA governance, delirium flags, accommodations, and clinician review.",cognitive-screening-assistant,Calculator,admin|calculator|assistant|ai-workflow|clinical|operations,ai-workflow-pack|core-platform,product-core-platform,intent,0.88
Columbia Suicide Severity Workflow,columbia-suicide-severity-workflow,Calculator,clinical|calculator|operations,core-platform,product-core-platform,name,0.92
/tools/calculators/columbia-suicide-severity-workflow,columbia-suicide-severity-workflow,Calculator,clinical|calculator|operations,core-platform,product-core-platform,route,0.9
calculator|Calculator|clinical|operations|core-platform,columbia-suicide-severity-workflow,Calculator,clinical|calculator|operations,core-platform,product-core-platform,tags,0.78
Workflow entry only: suicide-risk routing support with immediate safety review messaging. Does not administer or score official C-SSRS.,columbia-suicide-severity-workflow,Calculator,clinical|calculator|operations,core-platform,product-core-platform,intent,0.88
Simulation Competency Dashboard,competency-dashboard,Education & Simulation,hospital-operations|operations|simulation|education|clinical|training|emergency|pharmacy|research|reference|assistant|ai-workflow|laboratory|maps,ai-workflow-pack|core-platform|emergency-medicine|emergency-department-pack|laboratory-intelligence|hospital-operations|digital-twin-pack|simulation-training-pack|research-education,product-core-platform|product-emergency-department|product-laboratory|product-hospital-operations|product-digital-twin|product-simulation-training|product-research,name,0.92
/simulation/outcomes,competency-dashboard,Education & Simulation,hospital-operations|operations|simulation|education|clinical|training|emergency|pharmacy|research|reference|assistant|ai-workflow|laboratory|maps,ai-workflow-pack|core-platform|emergency-medicine|emergency-department-pack|laboratory-intelligence|hospital-operations|digital-twin-pack|simulation-training-pack|research-education,product-core-platform|product-emergency-department|product-laboratory|product-hospital-operations|product-digital-twin|product-simulation-training|product-research,route,0.9
simulation|Education & Simulation|hospital-operations|operations|education|clinical|training|emergency|pharmacy|research|reference|assistant|ai-workflow|laboratory|maps|ai-workflow-pack|core-platform|emergency-medicine|emergency-department-pack|laboratory-intelligence|digital-twin-pack|simulation-training-pack|research-education,competency-dashboard,Education & Simulation,hospital-operations|operations|simulation|education|clinical|training|emergency|pharmacy|research|reference|assistant|ai-workflow|laboratory|maps,ai-workflow-pack|core-platform|emergency-medicine|emergency-department-pack|laboratory-intelligence|hospital-operations|digital-twin-pack|simulation-training-pack|research-education,product-core-platform|product-emergency-department|product-laboratory|product-hospital-operations|product-digital-twin|product-simulation-training|product-research,tags,0.78
Competency Platform,competency-platform,Education & Simulation,simulation|education|clinical|training|assistant|ai-workflow|operations,ai-workflow-pack|core-platform|simulation-training-pack,product-core-platform|product-simulation-training,name,0.92
/competencies,competency-platform,Education & Simulation,simulation|education|clinical|training|assistant|ai-workflow|operations,ai-workflow-pack|core-platform|simulation-training-pack,product-core-platform|product-simulation-training,route,0.9
simulation|Education & Simulation|education|clinical|training|assistant|ai-workflow|operations|ai-workflow-pack|core-platform|simulation-training-pack,competency-platform,Education & Simulation,simulation|education|clinical|training|assistant|ai-workflow|operations,ai-workflow-pack|core-platform|simulation-training-pack,product-core-platform|product-simulation-training,tags,0.78
Consent Center,consent-center,Governance,admin|governance|audit,governance-compliance-pack,product-governance,name,0.92
/patients/:patientId/consent,consent-center,Governance,admin|governance|audit,governance-compliance-pack,product-governance,route,0.9
governance|Governance|admin|audit|governance-compliance-pack,consent-center,Governance,admin|governance|audit,governance-compliance-pack,product-governance,tags,0.78
Consent Manager,consent-manager,Governance,admin|governance|audit,governance-compliance-pack,product-governance,name,0.92
/governance/consent,consent-manager,Governance,admin|governance|audit,governance-compliance-pack,product-governance,route,0.9
governance|Governance|admin|audit|governance-compliance-pack,consent-manager,Governance,admin|governance|audit,governance-compliance-pack,product-governance,tags,0.78
Continuous Glucose Command Center,continuous-glucose-command-center,Reference,iot|operations|hospital-operations|reference|medical-iot|maps,medical-iot-pack|hospital-operations|digital-twin-pack,product-medical-iot|product-hospital-operations|product-digital-twin,name,0.92
/tools/endocrine/continuous-glucose-command-center,continuous-glucose-command-center,Reference,iot|operations|hospital-operations|reference|medical-iot|maps,medical-iot-pack|hospital-operations|digital-twin-pack,product-medical-iot|product-hospital-operations|product-digital-twin,route,0.9
tool|Reference|iot|operations|hospital-operations|reference|medical-iot|maps|medical-iot-pack|digital-twin-pack,continuous-glucose-command-center,Reference,iot|operations|hospital-operations|reference|medical-iot|maps,medical-iot-pack|hospital-operations|digital-twin-pack,product-medical-iot|product-hospital-operations|product-digital-twin,tags,0.78
"CGM command-center view for glucose telemetry, freshness, hypoglycemia/hyperglycemia patterns, and unresolved review queues.",continuous-glucose-command-center,Reference,iot|operations|hospital-operations|reference|medical-iot|maps,medical-iot-pack|hospital-operations|digital-twin-pack,product-medical-iot|product-hospital-operations|product-digital-twin,intent,0.88
COPD GOLD,copd-gold,Calculator,clinical|calculator|operations,core-platform,product-core-platform,name,0.92
/tools/calculators,copd-gold,Calculator,clinical|calculator|operations,core-platform,product-core-platform,route,0.9
ai-assisted-tool|Calculator|clinical|calculator|operations|core-platform,copd-gold,Calculator,clinical|calculator|operations,core-platform,product-core-platform,tags,0.78
COPD GOLD grouping support from symptoms and exacerbation history (decision support only; does not diagnose COPD or recommend inhalers).,copd-gold,Calculator,clinical|calculator|operations,core-platform,product-core-platform,intent,0.88
COPD GOLD Assessment,copd-gold-assessment,Calculator,iot|operations|hospital-operations|pharmacy|clinical|calculator|laboratory|medical-iot|maps,laboratory-intelligence|medical-iot-pack|hospital-operations|digital-twin-pack,product-laboratory|product-medical-iot|product-hospital-operations|product-digital-twin,name,0.92
/tools/calculators/copd-gold-assessment,copd-gold-assessment,Calculator,iot|operations|hospital-operations|pharmacy|clinical|calculator|laboratory|medical-iot|maps,laboratory-intelligence|medical-iot-pack|hospital-operations|digital-twin-pack,product-laboratory|product-medical-iot|product-hospital-operations|product-digital-twin,route,0.9
calculator|Calculator|iot|operations|hospital-operations|pharmacy|clinical|laboratory|medical-iot|maps|laboratory-intelligence|medical-iot-pack|digital-twin-pack,copd-gold-assessment,Calculator,iot|operations|hospital-operations|pharmacy|clinical|calculator|laboratory|medical-iot|maps,laboratory-intelligence|medical-iot-pack|hospital-operations|digital-twin-pack,product-laboratory|product-medical-iot|product-hospital-operations|product-digital-twin,tags,0.78
"COPD GOLD A/B/E grouping and optional spirometric grade context. Does not diagnose COPD or recommend inhalers, steroids, antibiotics, oxygen, or disposition.",copd-gold-assessment,Calculator,iot|operations|hospital-operations|pharmacy|clinical|calculator|laboratory|medical-iot|maps,laboratory-intelligence|medical-iot-pack|hospital-operations|digital-twin-pack,product-laboratory|product-medical-iot|product-hospital-operations|product-digital-twin,intent,0.88
COPD Workflow Assistant,copd-workflow-assistant,Calculator,clinical|calculator|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,name,0.92
/tools/pulmonology/copd-workflow-assistant,copd-workflow-assistant,Calculator,clinical|calculator|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,route,0.9
ai-assisted-tool|Calculator|clinical|calculator|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,copd-workflow-assistant,Calculator,clinical|calculator|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,tags,0.78
"COPD workflow support for GOLD context, exacerbation concerns, oxygen safety, and handoff prompts. Does not recommend treatment.",copd-workflow-assistant,Calculator,clinical|calculator|assistant|ai-workflow|operations,ai-workflow-pack|core-platform,product-core-platform,intent,0.88
Corrected Calcium,corrected-calcium,Calculator,clinical|calculator|operations,core-platform,product-core-platform,name,0.92
/tools/calculators/corrected-calcium,corrected-calcium,Calculator,clinical|calculator|operations,core-platform,product-core-platform,route,0.9
calculator|Calculator|clinical|operations|core-platform,corrected-calcium,Calculator,clinical|calculator|operations,core-platform,product-core-platform,tags,0.78
Albumin-corrected total calcium estimate. Does not diagnose calcium disorders or recommend treatment.,corrected-calcium,Calculator,clinical|calculator|operations,core-platform,product-core-platform,intent,0.88
Corrected Sodium,corrected-sodium,Calculator,clinical|calculator|operations,core-platform,product-core-platform,name,0.92
/tools/calculators/corrected-sodium,corrected-sodium,Calculator,clinical|calculator|operations,core-platform,product-core-platform,route,0.9
calculator|Calculator|clinical|operations|core-platform,corrected-sodium,Calculator,clinical|calculator|operations,core-platform,product-core-platform,tags,0.78
Corrected sodium estimate for hyperglycemia context. Does not recommend sodium correction strategy.,corrected-sodium,Calculator,clinical|calculator|operations,core-platform,product-core-platform,intent,0.88
Cost Optimization Control Plane,cost-optimization-control-plane,Governance,admin|cardiology|clinical|governance|audit,cardiology-pack|governance-compliance-pack,product-cardiology|product-governance,name,0.92
/governance/costs,cost-optimization-control-plane,Governance,admin|cardiology|clinical|governance|audit,cardiology-pack|governance-compliance-pack,product-cardiology|product-governance,route,0.9
governance|Governance|admin|cardiology|clinical|audit|cardiology-pack|governance-compliance-pack,cost-optimization-control-plane,Governance,admin|cardiology|clinical|governance|audit,cardiology-pack|governance-compliance-pack,product-cardiology|product-governance,tags,0.78
Creatinine Clearance (Cockcroft-Gault),creatinine-clearance-cg,Calculator,pharmacy|clinical|calculator|laboratory,laboratory-intelligence,product-laboratory,name,0.92
/tools/calculators/creatinine-clearance-cg,creatinine-clearance-cg,Calculator,pharmacy|clinical|calculator|laboratory,laboratory-intelligence,product-laboratory,route,0.9
calculator|Calculator|pharmacy|clinical|laboratory|laboratory-intelligence,creatinine-clearance-cg,Calculator,pharmacy|clinical|calculator|laboratory,laboratory-intelligence,product-laboratory,tags,0.78
"Cockcroft-Gault creatinine clearance estimate using age, sex, weight, and creatinine. Not medication dosing automation.",creatinine-clearance-cg,Calculator,pharmacy|clinical|calculator|laboratory,laboratory-intelligence,product-laboratory,intent,0.88
Credentialing Platform,credentialing-platform,Education & Simulation,simulation|education|clinical|training|research|reference|assistant|ai-workflow|operations,ai-workflow-pack|core-platform|simulation-training-pack|research-education,product-core-platform|product-simulation-training|product-research,name,0.92
/credentials,credentialing-platform,Education & Simulation,simulation|education|clinical|training|research|reference|assistant|ai-workflow|operations,ai-workflow-pack|core-platform|simulation-training-pack|research-education,product-core-platform|product-simulation-training|product-research,route,0.9
simulation|Education & Simulation|education|clinical|training|research|reference|assistant|ai-workflow|operations|ai-workflow-pack|core-platform|simulation-training-pack|research-education,credentialing-platform,Education & Simulation,simulation|education|clinical|training|research|reference|assistant|ai-workflow|operations,ai-workflow-pack|core-platform|simulation-training-pack|research-education,product-core-platform|product-simulation-training|product-research,tags,0.78
Crisis Escalation Audit Log,crisis-escalation-audit-log,Reference,admin|reference|governance|audit,governance-compliance-pack,product-governance,name,0.92
/tools/psychiatry/crisis-escalation-audit-log,crisis-escalation-audit-log,Reference,admin|reference|governance|audit,governance-compliance-pack,product-governance,route,0.9
governance|Reference|admin|reference|audit|governance-compliance-pack,crisis-escalation-audit-log,Reference,admin|reference|governance|audit,governance-compliance-pack,product-governance,tags,0.78
CURB-65,curb65-calculator,Calculator,clinical|calculator|operations,core-platform,product-core-platform,name,0.92
/tools/calculators/curb-65,curb65-calculator,Calculator,clinical|calculator|operations,core-platform,product-core-platform,route,0.9
calculator|Calculator|clinical|operations|core-platform,curb65-calculator,Calculator,clinical|calculator|operations,core-platform,product-core-platform,tags,0.78
"Community-acquired pneumonia severity score using confusion, urea/BUN, respiratory rate, blood pressure, and age.",curb65-calculator,Calculator,clinical|calculator|operations,core-platform,product-core-platform,intent,0.88
Simulation Debrief Dashboard,debrief-dashboard,Education & Simulation,simulation|education|clinical|training|research|reference|assistant|ai-workflow|operations|emergency,ai-workflow-pack|core-platform|emergency-medicine|emergency-department-pack|simulation-training-pack|research-education,product-core-platform|product-emergency-department|product-simulation-training|product-research,name,0.92
/simulation/sepsis-deterioration,debrief-dashboard,Education & Simulation,simulation|education|clinical|training|research|reference|assistant|ai-workflow|operations|emergency,ai-workflow-pack|core-platform|emergency-medicine|emergency-department-pack|simulation-training-pack|research-education,product-core-platform|product-emergency-department|product-simulation-training|product-research,route,0.9
simulation|Education & Simulation|education|clinical|training|research|reference|assistant|ai-workflow|operations|emergency|ai-workflow-pack|core-platform|emergency-medicine|emergency-department-pack|simulation-training-pack|research-education,debrief-dashboard,Education & Simulation,simulation|education|clinical|training|research|reference|assistant|ai-workflow|operations|emergency,ai-workflow-pack|core-platform|emergency-medicine|emergency-department-pack|simulation-training-pack|research-education,product-core-platform|product-emergency-department|product-simulation-training|product-research,tags,0.78
Deployment Observability,deployment-observability,Other,admin|hospital-operations|operations|maps,hospital-operations|digital-twin-pack,product-hospital-operations|product-digital-twin,name,0.92
/operations/observability,deployment-observability,Other,admin|hospital-operations|operations|maps,hospital-operations|digital-twin-pack,product-hospital-operations|product-digital-twin,route,0.9
