artifactId,name,type,category,route,sourceFile,frontendStatus,backendStatus,demoStatus,assetPack,product,workspace,roles,organizationTypes,riskLevel,description,dependencies,tags,embeddingText,status
clinical-event-ai,Clinical Event AI,tool,Clinical AI,/patients/:patientId/events,src/pages/platform/PlatformSystemPage.jsx,frontend-routed,backend-backed,demo-only,ai-workflow-pack|core-platform,product-core-platform,clinical|assistant|ai-workflow|operations,emergency physician|hospitalist|nurse|ICU clinician|medical student,hospital,medium,Draft event summaries and missing-context prompts for human review.,/api/clinical-intelligence/clinical-event-ai/draft|src/pages/platform/PlatformSystemPage.jsx|src/services/platformSystemsApi.js|platformSystemsExpansionPlan.test.js|routePagesSmoke.test.jsx|App.permissions.test.jsx|platformResponsive.test.jsx,ai-assisted-tool|Clinical AI|clinical|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,clinical-event-ai clinical event ai tool clinical ai patients patientid events ai-workflow-pack core-platform product-core-platform clinical assistant ai-workflow operations emergency physician hospitalist nurse icu clinician medical student hospital medium draft event summaries and missing-context prompts for human review api clinical-intelligence clinical-event-ai draft src pages platform platformsystempage jsx src services platformsystemsapi js platformsystemsexpansionplan test js routepagessmoke test jsx app permissions test jsx platformresponsive test jsx ai-assisted-tool clinical ai clinical assistant ai-workflow operations ai-workflow-pack core-platform,beta
clinical-governance,Clinical Governance,governance,Governance,/governance/clinical,src/pages/platform/PlatformGovernanceWorkspace.jsx,frontend-routed,backend-backed,demo-only,governance-compliance-pack,product-governance,admin|governance|audit,administrator,hospital,high,"Track production readiness, active clinical policy, release gates, and P0 safety blockers.",/api/governance/clinical/readiness|src/pages/platform/PlatformGovernanceWorkspace.jsx|src/services/platformSystemsApi.js|platformSystemsExpansionPlan.test.js|routePagesSmoke.test.jsx|App.permissions.test.jsx|platformResponsive.test.jsx,governance|Governance|admin|audit|governance-compliance-pack,clinical-governance clinical governance governance governance governance clinical governance-compliance-pack product-governance admin governance audit administrator hospital high track production readiness active clinical policy release gates and p0 safety blockers api governance clinical readiness src pages platform platformgovernanceworkspace jsx src services platformsystemsapi js platformsystemsexpansionplan test js routepagessmoke test jsx app permissions test jsx platformresponsive test jsx governance governance admin audit governance-compliance-pack,active
clinical-knowledge-graph,Clinical Knowledge Graph,tool,Reference,/knowledge-graph,src/pages/ClinicalKnowledgeGraph.jsx,frontend-routed,unsupported,unsupported,ai-workflow-pack|core-platform|medical-iot-pack|hospital-operations|digital-twin-pack|simulation-training-pack|research-education,product-core-platform|product-medical-iot|product-hospital-operations|product-digital-twin|product-simulation-training|product-research,operations|simulation|education|clinical|training|reference|assistant|ai-workflow|medical-iot|maps|research,biomedical engineer|ICU clinician|nurse|administrator|emergency physician|medical student|fleet operator,hospital,medium,"Graph explorer connecting calculators, protocols, simulations, laboratory values, devices, and AI workflows with relationship search and explainability.",src/pages/ClinicalKnowledgeGraph.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,tool|Reference|operations|simulation|education|clinical|training|reference|assistant|ai-workflow|medical-iot|maps|research|ai-workflow-pack|core-platform|medical-iot-pack|hospital-operations|digital-twin-pack|simulation-training-pack|research-education,clinical-knowledge-graph clinical knowledge graph tool reference knowledge-graph ai-workflow-pack core-platform medical-iot-pack hospital-operations digital-twin-pack simulation-training-pack research-education product-core-platform product-medical-iot product-hospital-operations product-digital-twin product-simulation-training product-research operations simulation education clinical training reference assistant ai-workflow medical-iot maps research biomedical engineer icu clinician nurse administrator emergency physician medical student fleet operator hospital medium graph explorer connecting calculators protocols simulations laboratory values devices and ai workflows with relationship search and explainability src pages clinicalknowledgegraph jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js tool reference operations simulation education clinical training reference assistant ai-workflow medical-iot maps research ai-workflow-pack core-platform medical-iot-pack hospital-operations digital-twin-pack simulation-training-pack research-education,draft
clinical-reasoning-engine,Clinical Reasoning Engine,tool,Clinical AI,/tools/clinical-reasoning-engine,src/pages/platform/PlatformSystemPage.jsx,frontend-routed,backend-backed,demo-only,ai-workflow-pack|core-platform,product-core-platform,clinical|assistant|ai-workflow|operations,emergency physician|hospitalist|nurse|ICU clinician|medical student,hospital,medium,"Separate facts, assumptions, missing data, uncertainty, and draft reasoning support.",/api/clinical-intelligence/reasoning/analyze|src/pages/platform/PlatformSystemPage.jsx|src/services/platformSystemsApi.js|platformSystemsExpansionPlan.test.js|routePagesSmoke.test.jsx|App.permissions.test.jsx|platformResponsive.test.jsx,ai-assisted-tool|Clinical AI|clinical|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,clinical-reasoning-engine clinical reasoning engine tool clinical ai tools clinical-reasoning-engine ai-workflow-pack core-platform product-core-platform clinical assistant ai-workflow operations emergency physician hospitalist nurse icu clinician medical student hospital medium separate facts assumptions missing data uncertainty and draft reasoning support api clinical-intelligence reasoning analyze src pages platform platformsystempage jsx src services platformsystemsapi js platformsystemsexpansionplan test js routepagessmoke test jsx app permissions test jsx platformresponsive test jsx ai-assisted-tool clinical ai clinical assistant ai-workflow operations ai-workflow-pack core-platform,beta
clinical-release-gates,Clinical Release Gates,governance,Governance,/governance/clinical/release-gates,src/pages/platform/PlatformGovernanceWorkspace.jsx,frontend-routed,backend-backed,demo-only,governance-compliance-pack,product-governance,admin|governance|audit,administrator,hospital,high,"Gate model, prompt, tool, integration, and policy changes until validation and approval are complete.",/api/governance/clinical/release-gates|src/pages/platform/PlatformGovernanceWorkspace.jsx|src/services/platformSystemsApi.js|platformSystemsExpansionPlan.test.js|routePagesSmoke.test.jsx|App.permissions.test.jsx|platformResponsive.test.jsx,governance|Governance|admin|audit|governance-compliance-pack,clinical-release-gates clinical release gates governance governance governance clinical release-gates governance-compliance-pack product-governance admin governance audit administrator hospital high gate model prompt tool integration and policy changes until validation and approval are complete api governance clinical release-gates src pages platform platformgovernanceworkspace jsx src services platformsystemsapi js platformsystemsexpansionplan test js routepagessmoke test jsx app permissions test jsx platformresponsive test jsx governance governance admin audit governance-compliance-pack,active
clinical-safety-audit,Clinical Safety Audit,governance,Governance,/governance/clinical-safety,src/pages/platform/PlatformSystemPage.jsx,frontend-routed,backend-backed,demo-only,governance-compliance-pack,product-governance,admin|governance|audit,administrator,hospital,high,"Review prompts, outputs, citations, safety copy, and adverse workflow findings.",/api/governance/clinical-safety/findings|src/pages/platform/PlatformSystemPage.jsx|src/services/platformSystemsApi.js|platformSystemsExpansionPlan.test.js|routePagesSmoke.test.jsx|App.permissions.test.jsx|platformResponsive.test.jsx,governance|Governance|admin|audit|governance-compliance-pack,clinical-safety-audit clinical safety audit governance governance governance clinical-safety governance-compliance-pack product-governance admin governance audit administrator hospital high review prompts outputs citations safety copy and adverse workflow findings api governance clinical-safety findings src pages platform platformsystempage jsx src services platformsystemsapi js platformsystemsexpansionplan test js routepagessmoke test jsx app permissions test jsx platformresponsive test jsx governance governance admin audit governance-compliance-pack,beta
clinical-safety-findings,Clinical Safety Findings,governance,Governance,/governance/clinical/safety-findings,src/pages/platform/PlatformGovernanceWorkspace.jsx,frontend-routed,backend-backed,demo-only,governance-compliance-pack,product-governance,admin|governance|audit,administrator,hospital,high,"Review clinical safety findings tied to AI runs, prompts, citations, tool outputs, and policies.",/api/governance/clinical/safety-findings|src/pages/platform/PlatformGovernanceWorkspace.jsx|src/services/platformSystemsApi.js|platformSystemsExpansionPlan.test.js|routePagesSmoke.test.jsx|App.permissions.test.jsx|platformResponsive.test.jsx,governance|Governance|admin|audit|governance-compliance-pack,clinical-safety-findings clinical safety findings governance governance governance clinical safety-findings governance-compliance-pack product-governance admin governance audit administrator hospital high review clinical safety findings tied to ai runs prompts citations tool outputs and policies api governance clinical safety-findings src pages platform platformgovernanceworkspace jsx src services platformsystemsapi js platformsystemsexpansionplan test js routepagessmoke test jsx app permissions test jsx platformresponsive test jsx governance governance admin audit governance-compliance-pack,beta
cognitive-screening-assistant,Cognitive Screening Assistant,tool,Calculator,/tools/psychiatry/cognitive-screening-assistant,src/pages/tools/PsychiatryAssistantPage.jsx,frontend-routed,unsupported,unsupported,ai-workflow-pack|core-platform,product-core-platform,admin|calculator|assistant|ai-workflow|clinical|operations,administrator,hospital,high,"Guided cognitive screening workflow for MMSE score entry, MoCA governance, delirium flags, accommodations, and clinician review.",src/pages/tools/PsychiatryAssistantPage.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,ai-assisted-tool|Calculator|admin|calculator|assistant|ai-workflow|clinical|operations|ai-workflow-pack|core-platform,cognitive-screening-assistant cognitive screening assistant tool calculator tools psychiatry cognitive-screening-assistant ai-workflow-pack core-platform product-core-platform admin calculator assistant ai-workflow clinical operations administrator hospital high guided cognitive screening workflow for mmse score entry moca governance delirium flags accommodations and clinician review src pages tools psychiatryassistantpage jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool calculator admin calculator assistant ai-workflow clinical operations ai-workflow-pack core-platform,draft
columbia-suicide-severity-workflow,Columbia Suicide Severity Workflow,calculator,Calculator,/tools/calculators/columbia-suicide-severity-workflow,src/pages/tools/Calculators.jsx,frontend-routed,unsupported,unsupported,core-platform,product-core-platform,clinical|calculator|operations,emergency physician|hospitalist|nurse|ICU clinician|medical student,hospital,medium,Workflow entry only: suicide-risk routing support with immediate safety review messaging. Does not administer or score official C-SSRS.,src/pages/tools/Calculators.jsx|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,calculator|Calculator|clinical|operations|core-platform,columbia-suicide-severity-workflow columbia suicide severity workflow calculator calculator tools calculators columbia-suicide-severity-workflow core-platform product-core-platform clinical calculator operations emergency physician hospitalist nurse icu clinician medical student hospital medium workflow entry only suicide-risk routing support with immediate safety review messaging does not administer or score official c-ssrs src pages tools calculators jsx toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js calculator calculator clinical operations core-platform,draft
competency-dashboard,Simulation Competency Dashboard,simulation,Education & Simulation,/simulation/outcomes,src/pages/SimulationOutcomes.jsx,frontend-routed,unsupported,unsupported,ai-workflow-pack|core-platform|emergency-medicine|emergency-department-pack|laboratory-intelligence|hospital-operations|digital-twin-pack|simulation-training-pack|research-education,product-core-platform|product-emergency-department|product-laboratory|product-hospital-operations|product-digital-twin|product-simulation-training|product-research,operations|simulation|education|clinical|training|emergency|pharmacy|research|reference|assistant|ai-workflow|laboratory|maps,administrator|ICU clinician|nurse|biomedical engineer|emergency physician|medical student|fleet operator|hospitalist|pharmacist|researcher,hospital,low,"Competency dashboard for emergency stabilization, medication safety, communication, laboratory escalation, and operations coordination coverage.",src/pages/SimulationOutcomes.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,simulation|Education & Simulation|operations|education|clinical|training|emergency|pharmacy|research|reference|assistant|ai-workflow|laboratory|maps|ai-workflow-pack|core-platform|emergency-medicine|emergency-department-pack|laboratory-intelligence|hospital-operations|digital-twin-pack|simulation-training-pack|research-education,competency-dashboard simulation competency dashboard simulation education simulation simulation outcomes ai-workflow-pack core-platform emergency-medicine emergency-department-pack laboratory-intelligence hospital-operations digital-twin-pack simulation-training-pack research-education product-core-platform product-emergency-department product-laboratory product-hospital-operations product-digital-twin product-simulation-training product-research operations simulation education clinical training emergency pharmacy research reference assistant ai-workflow laboratory maps administrator icu clinician nurse biomedical engineer emergency physician medical student fleet operator hospitalist pharmacist researcher hospital low competency dashboard for emergency stabilization medication safety communication laboratory escalation and operations coordination coverage src pages simulationoutcomes jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js simulation education simulation operations education clinical training emergency pharmacy research reference assistant ai-workflow laboratory maps ai-workflow-pack core-platform emergency-medicine emergency-department-pack laboratory-intelligence hospital-operations digital-twin-pack simulation-training-pack research-education,draft
competency-platform,Competency Platform,simulation,Education & Simulation,/competencies,src/pages/Competencies.jsx,frontend-routed,unsupported,unsupported,ai-workflow-pack|core-platform|simulation-training-pack,product-core-platform|product-simulation-training,simulation|education|clinical|training|assistant|ai-workflow|operations,emergency physician|nurse|medical student|ICU clinician|biomedical engineer|fleet operator,hospital,medium,"Competency tracking platform for simulation completion, skill completion, training status, readiness, and competency gaps.",src/pages/Competencies.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,simulation|Education & Simulation|education|clinical|training|assistant|ai-workflow|operations|ai-workflow-pack|core-platform|simulation-training-pack,competency-platform competency platform simulation education simulation competencies ai-workflow-pack core-platform simulation-training-pack product-core-platform product-simulation-training simulation education clinical training assistant ai-workflow operations emergency physician nurse medical student icu clinician biomedical engineer fleet operator hospital medium competency tracking platform for simulation completion skill completion training status readiness and competency gaps src pages competencies jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js simulation education simulation education clinical training assistant ai-workflow operations ai-workflow-pack core-platform simulation-training-pack,draft
consent-center,Consent Center,governance,Governance,/patients/:patientId/consent,src/pages/platform/PlatformGovernanceWorkspace.jsx,frontend-routed,backend-backed,demo-only,governance-compliance-pack,product-governance,admin|governance|audit,administrator,hospital,high,"Gate patient context, ambient capture, documentation export, and external sharing by consent scope.",/api/consent/:patientId|src/pages/platform/PlatformGovernanceWorkspace.jsx|src/services/platformSystemsApi.js|platformSystemsExpansionPlan.test.js|routePagesSmoke.test.jsx|App.permissions.test.jsx|platformResponsive.test.jsx,governance|Governance|admin|audit|governance-compliance-pack,consent-center consent center governance governance patients patientid consent governance-compliance-pack product-governance admin governance audit administrator hospital high gate patient context ambient capture documentation export and external sharing by consent scope api consent patientid src pages platform platformgovernanceworkspace jsx src services platformsystemsapi js platformsystemsexpansionplan test js routepagessmoke test jsx app permissions test jsx platformresponsive test jsx governance governance admin audit governance-compliance-pack,beta
consent-manager,Consent Manager,governance,Governance,/governance/consent,src/pages/platform/PlatformSystemPage.jsx,frontend-routed,backend-backed,demo-only,governance-compliance-pack,product-governance,admin|governance|audit,administrator,hospital,high,"Manage consent scope, status, expiration, revocation, and audit visibility.",/api/consent/:patientId|src/pages/platform/PlatformSystemPage.jsx|src/services/platformSystemsApi.js|platformSystemsExpansionPlan.test.js|routePagesSmoke.test.jsx|App.permissions.test.jsx|platformResponsive.test.jsx,governance|Governance|admin|audit|governance-compliance-pack,consent-manager consent manager governance governance governance consent governance-compliance-pack product-governance admin governance audit administrator hospital high manage consent scope status expiration revocation and audit visibility api consent patientid src pages platform platformsystempage jsx src services platformsystemsapi js platformsystemsexpansionplan test js routepagessmoke test jsx app permissions test jsx platformresponsive test jsx governance governance admin audit governance-compliance-pack,beta
continuous-glucose-command-center,Continuous Glucose Command Center,tool,Reference,/tools/endocrine/continuous-glucose-command-center,src/pages/tools/EndocrineMetabolicAssistantPage.jsx,frontend-routed,unsupported,unsupported,medical-iot-pack|hospital-operations|digital-twin-pack,product-medical-iot|product-hospital-operations|product-digital-twin,operations|reference|medical-iot|maps,biomedical engineer|ICU clinician|nurse|administrator,hospital,low,"CGM command-center view for glucose telemetry, freshness, hypoglycemia/hyperglycemia patterns, and unresolved review queues.",src/pages/tools/EndocrineMetabolicAssistantPage.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,tool|Reference|operations|reference|medical-iot|maps|medical-iot-pack|hospital-operations|digital-twin-pack,continuous-glucose-command-center continuous glucose command center tool reference tools endocrine continuous-glucose-command-center medical-iot-pack hospital-operations digital-twin-pack product-medical-iot product-hospital-operations product-digital-twin operations reference medical-iot maps biomedical engineer icu clinician nurse administrator hospital low cgm command-center view for glucose telemetry freshness hypoglycemia hyperglycemia patterns and unresolved review queues src pages tools endocrinemetabolicassistantpage jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js tool reference operations reference medical-iot maps medical-iot-pack hospital-operations digital-twin-pack,draft
copd-gold,COPD GOLD,tool,Calculator,/tools/calculators,src/pages/tools/Calculators.jsx,frontend-routed,unsupported,unsupported,core-platform,product-core-platform,clinical|calculator|operations,emergency physician|hospitalist|nurse|ICU clinician|medical student,hospital,medium,COPD GOLD grouping support from symptoms and exacerbation history (decision support only; does not diagnose COPD or recommend inhalers).,src/pages/tools/Calculators.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,ai-assisted-tool|Calculator|clinical|calculator|operations|core-platform,copd-gold copd gold tool calculator tools calculators core-platform product-core-platform clinical calculator operations emergency physician hospitalist nurse icu clinician medical student hospital medium copd gold grouping support from symptoms and exacerbation history decision support only does not diagnose copd or recommend inhalers src pages tools calculators jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool calculator clinical calculator operations core-platform,draft
copd-gold-assessment,COPD GOLD Assessment,calculator,Calculator,/tools/calculators/copd-gold-assessment,src/pages/tools/Calculators.jsx,frontend-routed,unsupported,unsupported,laboratory-intelligence|medical-iot-pack|hospital-operations|digital-twin-pack,product-laboratory|product-medical-iot|product-hospital-operations|product-digital-twin,operations|pharmacy|clinical|calculator|laboratory|medical-iot|maps,biomedical engineer|ICU clinician|nurse|administrator|pharmacist|hospitalist|emergency physician,hospital,medium,"COPD GOLD A/B/E grouping and optional spirometric grade context. Does not diagnose COPD or recommend inhalers, steroids, antibiotics, oxygen, or disposition.",src/pages/tools/Calculators.jsx|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,calculator|Calculator|operations|pharmacy|clinical|laboratory|medical-iot|maps|laboratory-intelligence|medical-iot-pack|hospital-operations|digital-twin-pack,copd-gold-assessment copd gold assessment calculator calculator tools calculators copd-gold-assessment laboratory-intelligence medical-iot-pack hospital-operations digital-twin-pack product-laboratory product-medical-iot product-hospital-operations product-digital-twin operations pharmacy clinical calculator laboratory medical-iot maps biomedical engineer icu clinician nurse administrator pharmacist hospitalist emergency physician hospital medium copd gold a b e grouping and optional spirometric grade context does not diagnose copd or recommend inhalers steroids antibiotics oxygen or disposition src pages tools calculators jsx toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js calculator calculator operations pharmacy clinical laboratory medical-iot maps laboratory-intelligence medical-iot-pack hospital-operations digital-twin-pack,draft
copd-workflow-assistant,COPD Workflow Assistant,tool,Calculator,/tools/pulmonology/copd-workflow-assistant,src/pages/tools/PulmonologyAssistantPage.jsx,frontend-routed,unsupported,unsupported,ai-workflow-pack|core-platform,product-core-platform,clinical|calculator|assistant|ai-workflow|operations,emergency physician|hospitalist|nurse|ICU clinician|medical student,hospital,medium,"COPD workflow support for GOLD context, exacerbation concerns, oxygen safety, and handoff prompts. Does not recommend treatment.",src/pages/tools/PulmonologyAssistantPage.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,ai-assisted-tool|Calculator|clinical|calculator|assistant|ai-workflow|operations|ai-workflow-pack|core-platform,copd-workflow-assistant copd workflow assistant tool calculator tools pulmonology copd-workflow-assistant ai-workflow-pack core-platform product-core-platform clinical calculator assistant ai-workflow operations emergency physician hospitalist nurse icu clinician medical student hospital medium copd workflow support for gold context exacerbation concerns oxygen safety and handoff prompts does not recommend treatment src pages tools pulmonologyassistantpage jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool calculator clinical calculator assistant ai-workflow operations ai-workflow-pack core-platform,draft
corrected-calcium,Corrected Calcium,calculator,Calculator,/tools/calculators/corrected-calcium,src/pages/tools/Calculators.jsx,frontend-routed,unsupported,unsupported,core-platform,product-core-platform,clinical|calculator|operations,emergency physician|hospitalist|nurse|ICU clinician|medical student,hospital,medium,Albumin-corrected total calcium estimate. Does not diagnose calcium disorders or recommend treatment.,src/pages/tools/Calculators.jsx|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,calculator|Calculator|clinical|operations|core-platform,corrected-calcium corrected calcium calculator calculator tools calculators corrected-calcium core-platform product-core-platform clinical calculator operations emergency physician hospitalist nurse icu clinician medical student hospital medium albumin-corrected total calcium estimate does not diagnose calcium disorders or recommend treatment src pages tools calculators jsx toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js calculator calculator clinical operations core-platform,draft
corrected-sodium,Corrected Sodium,calculator,Calculator,/tools/calculators/corrected-sodium,src/pages/tools/Calculators.jsx,frontend-routed,unsupported,unsupported,core-platform,product-core-platform,clinical|calculator|operations,emergency physician|hospitalist|nurse|ICU clinician|medical student,hospital,medium,Corrected sodium estimate for hyperglycemia context. Does not recommend sodium correction strategy.,src/pages/tools/Calculators.jsx|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,calculator|Calculator|clinical|operations|core-platform,corrected-sodium corrected sodium calculator calculator tools calculators corrected-sodium core-platform product-core-platform clinical calculator operations emergency physician hospitalist nurse icu clinician medical student hospital medium corrected sodium estimate for hyperglycemia context does not recommend sodium correction strategy src pages tools calculators jsx toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js calculator calculator clinical operations core-platform,draft
cost-optimization-control-plane,Cost Optimization Control Plane,governance,Governance,/governance/costs,src/pages/platform/PlatformSystemPage.jsx,frontend-routed,backend-backed,demo-only,cardiology-pack|governance-compliance-pack,product-cardiology|product-governance,admin|cardiology|clinical|governance|audit,administrator|cardiologist|emergency physician|hospitalist,hospital,high,"Manage model budgets, spend alerts, routing controls, and optimization recommendations.",/api/governance/costs/summary|src/pages/platform/PlatformSystemPage.jsx|src/services/platformSystemsApi.js|platformSystemsExpansionPlan.test.js|routePagesSmoke.test.jsx|App.permissions.test.jsx|platformResponsive.test.jsx,governance|Governance|admin|cardiology|clinical|audit|cardiology-pack|governance-compliance-pack,cost-optimization-control-plane cost optimization control plane governance governance governance costs cardiology-pack governance-compliance-pack product-cardiology product-governance admin cardiology clinical governance audit administrator cardiologist emergency physician hospitalist hospital high manage model budgets spend alerts routing controls and optimization recommendations api governance costs summary src pages platform platformsystempage jsx src services platformsystemsapi js platformsystemsexpansionplan test js routepagessmoke test jsx app permissions test jsx platformresponsive test jsx governance governance admin cardiology clinical audit cardiology-pack governance-compliance-pack,beta
creatinine-clearance-cg,Creatinine Clearance (Cockcroft-Gault),calculator,Calculator,/tools/calculators/creatinine-clearance-cg,src/pages/tools/Calculators.jsx,frontend-routed,unsupported,unsupported,laboratory-intelligence,product-laboratory,pharmacy|clinical|calculator|laboratory,pharmacist|hospitalist|emergency physician|nurse,hospital,medium,"Cockcroft-Gault creatinine clearance estimate using age, sex, weight, and creatinine. Not medication dosing automation.",src/pages/tools/Calculators.jsx|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,calculator|Calculator|pharmacy|clinical|laboratory|laboratory-intelligence,creatinine-clearance-cg creatinine clearance cockcroft-gault calculator calculator tools calculators creatinine-clearance-cg laboratory-intelligence product-laboratory pharmacy clinical calculator laboratory pharmacist hospitalist emergency physician nurse hospital medium cockcroft-gault creatinine clearance estimate using age sex weight and creatinine not medication dosing automation src pages tools calculators jsx toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js calculator calculator pharmacy clinical laboratory laboratory-intelligence,draft
credentialing-platform,Credentialing Platform,simulation,Education & Simulation,/credentials,src/pages/Credentials.jsx,frontend-routed,unsupported,unsupported,ai-workflow-pack|core-platform|simulation-training-pack|research-education,product-core-platform|product-simulation-training|product-research,simulation|education|clinical|training|research|reference|assistant|ai-workflow|operations,emergency physician|nurse|medical student|ICU clinician|biomedical engineer|fleet operator|researcher|hospitalist,hospital,medium,"Credentialing platform for certifications, CME credits, renewal status, credential readiness, and training evidence.",src/pages/Credentials.jsx|src/services/clinicalChatService.js|toolInventory.test.js|clinicalToolIdContract.test.js|clinicalToolAliasSync.test.js|medicalToolsCatalogIndex.test.js|medicalExpansionCrossPackValidation.test.js|clinicalCatalogLaunch.test.js,simulation|Education & Simulation|education|clinical|training|research|reference|assistant|ai-workflow|operations|ai-workflow-pack|core-platform|simulation-training-pack|research-education,credentialing-platform credentialing platform simulation education simulation credentials ai-workflow-pack core-platform simulation-training-pack research-education product-core-platform product-simulation-training product-research simulation education clinical training research reference assistant ai-workflow operations emergency physician nurse medical student icu clinician biomedical engineer fleet operator researcher hospitalist hospital medium credentialing platform for certifications cme credits renewal status credential readiness and training evidence src pages credentials jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js simulation education simulation education clinical training research reference assistant ai-workflow operations ai-workflow-pack core-platform simulation-training-pack research-education,draft
