artifactId,normalizedText,tags,typeEncoding,roleEncoding,workspaceEncoding,packEncoding,dependencyCount,riskScore,readinessScore
api-post-api-privacy-delete-request,api-post-api-privacy-delete-request post api privacy delete-request api-endpoint platformsystemscontroller api privacy delete-request unknown unknown backend unknown unknown high platformsystemscontroller exposes post api privacy delete-request platformsystemscontroller api post platformsystemscontroller,api|POST|PlatformSystemsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-privacy-export,api-post-api-privacy-export post api privacy export api-endpoint platformsystemscontroller api privacy export unknown unknown backend unknown unknown high platformsystemscontroller exposes post api privacy export platformsystemscontroller api post platformsystemscontroller,api|POST|PlatformSystemsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-privacy-requests,api-post-api-privacy-requests post api privacy requests api-endpoint privacycentercontroller api privacy requests unknown unknown backend unknown unknown high privacycentercontroller exposes post api privacy requests privacycentercontroller api post privacycentercontroller,api|POST|PrivacyCenterController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-privacy-requests-requestid-review,api-post-api-privacy-requests-requestid-review post api privacy requests requestid review api-endpoint platformsystemscontroller api privacy requests requestid review unknown unknown backend unknown unknown high platformsystemscontroller exposes post api privacy requests requestid review platformsystemscontroller api post platformsystemscontroller,api|POST|PlatformSystemsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-protocols,api-post-api-protocols post api protocols api-endpoint protocolcontroller api protocols unknown unknown backend unknown unknown high protocolcontroller exposes post api protocols protocolcontroller api post protocolcontroller,api|POST|ProtocolController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-review-items,api-post-api-review-items post api review items api-endpoint platformsystemscontroller api review items unknown unknown backend unknown unknown high platformsystemscontroller exposes post api review items platformsystemscontroller api post platformsystemscontroller,api|POST|PlatformSystemsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-review-items-itemid-assign,api-post-api-review-items-itemid-assign post api review items itemid assign api-endpoint platformsystemscontroller api review items itemid assign unknown unknown backend unknown unknown high platformsystemscontroller exposes post api review items itemid assign platformsystemscontroller api post platformsystemscontroller,api|POST|PlatformSystemsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-review-items-itemid-comments,api-post-api-review-items-itemid-comments post api review items itemid comments api-endpoint platformsystemscontroller api review items itemid comments unknown unknown backend unknown unknown high platformsystemscontroller exposes post api review items itemid comments platformsystemscontroller api post platformsystemscontroller,api|POST|PlatformSystemsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-review-items-itemid-decision,api-post-api-review-items-itemid-decision post api review items itemid decision api-endpoint platformsystemscontroller api review items itemid decision unknown unknown backend unknown unknown high platformsystemscontroller exposes post api review items itemid decision platformsystemscontroller api post platformsystemscontroller,api|POST|PlatformSystemsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-security-evaluate,api-post-api-security-evaluate post api security evaluate api-endpoint llmsecuritycontroller api security evaluate unknown unknown backend unknown unknown high llmsecuritycontroller exposes post api security evaluate llmsecuritycontroller api post llmsecuritycontroller,api|POST|LlmSecurityController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-simulation-runs,api-post-api-simulation-runs post api simulation runs api-endpoint simulationcontroller api simulation runs unknown unknown backend unknown unknown high simulationcontroller exposes post api simulation runs simulationcontroller api post simulationcontroller,api|POST|SimulationController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-simulation-runs-id-complete,api-post-api-simulation-runs-id-complete post api simulation runs id complete api-endpoint simulationcontroller api simulation runs id complete unknown unknown backend unknown unknown high simulationcontroller exposes post api simulation runs id complete simulationcontroller api post simulationcontroller,api|POST|SimulationController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-simulation-runs-id-steps,api-post-api-simulation-runs-id-steps post api simulation runs id steps api-endpoint simulationcontroller api simulation runs id steps unknown unknown backend unknown unknown high simulationcontroller exposes post api simulation runs id steps simulationcontroller api post simulationcontroller,api|POST|SimulationController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-solution-builder-apply,api-post-api-solution-builder-apply post api solution-builder apply api-endpoint productcatalogcontroller api solution-builder apply unknown unknown backend unknown unknown high productcatalogcontroller exposes post api solution-builder apply productcatalogcontroller api post productcatalogcontroller,api|POST|ProductCatalogController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-solution-builder-recommendations,api-post-api-solution-builder-recommendations post api solution-builder recommendations api-endpoint productcatalogcontroller api solution-builder recommendations unknown unknown backend unknown unknown high productcatalogcontroller exposes post api solution-builder recommendations productcatalogcontroller api post productcatalogcontroller,api|POST|ProductCatalogController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-subscriptions-create-checkout,api-post-api-subscriptions-create-checkout post api subscriptions create-checkout api-endpoint subscriptionscontroller api subscriptions create-checkout unknown unknown backend unknown unknown high subscriptionscontroller exposes post api subscriptions create-checkout subscriptionscontroller api post subscriptionscontroller,api|POST|SubscriptionsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-subscriptions-downgrade,api-post-api-subscriptions-downgrade post api subscriptions downgrade api-endpoint subscriptionscontroller api subscriptions downgrade unknown unknown backend unknown unknown high subscriptionscontroller exposes post api subscriptions downgrade subscriptionscontroller api post subscriptionscontroller,api|POST|SubscriptionsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-subscriptions-entitlements-resolve,api-post-api-subscriptions-entitlements-resolve post api subscriptions entitlements resolve api-endpoint subscriptionscontroller api subscriptions entitlements resolve unknown unknown backend unknown unknown high subscriptionscontroller exposes post api subscriptions entitlements resolve subscriptionscontroller api post subscriptionscontroller,api|POST|SubscriptionsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-subscriptions-portal,api-post-api-subscriptions-portal post api subscriptions portal api-endpoint subscriptionscontroller api subscriptions portal unknown unknown backend unknown unknown high subscriptionscontroller exposes post api subscriptions portal subscriptionscontroller api post subscriptionscontroller,api|POST|SubscriptionsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-subscriptions-trial-convert,api-post-api-subscriptions-trial-convert post api subscriptions trial convert api-endpoint subscriptionscontroller api subscriptions trial convert unknown unknown backend unknown unknown high subscriptionscontroller exposes post api subscriptions trial convert subscriptionscontroller api post subscriptionscontroller,api|POST|SubscriptionsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-subscriptions-upgrade,api-post-api-subscriptions-upgrade post api subscriptions upgrade api-endpoint subscriptionscontroller api subscriptions upgrade unknown unknown backend unknown unknown high subscriptionscontroller exposes post api subscriptions upgrade subscriptionscontroller api post subscriptionscontroller,api|POST|SubscriptionsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-subscriptions-usage-events,api-post-api-subscriptions-usage-events post api subscriptions usage events api-endpoint subscriptionscontroller api subscriptions usage events unknown unknown backend unknown unknown high subscriptionscontroller exposes post api subscriptions usage events subscriptionscontroller api post subscriptionscontroller,api|POST|SubscriptionsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-subscriptions-webhook,api-post-api-subscriptions-webhook post api subscriptions webhook api-endpoint subscriptionscontroller api subscriptions webhook unknown unknown backend unknown unknown high subscriptionscontroller exposes post api subscriptions webhook subscriptionscontroller api post subscriptionscontroller,api|POST|SubscriptionsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-tool-calling-execute,api-post-api-tool-calling-execute post api tool-calling execute api-endpoint toolcallingcontroller api tool-calling execute unknown unknown backend unknown unknown high toolcallingcontroller exposes post api tool-calling execute toolcallingcontroller api post toolcallingcontroller,api|POST|ToolCallingController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-tools-execute,api-post-api-tools-execute post api tools execute api-endpoint toolorchestratorcontroller api tools execute unknown unknown backend unknown unknown high toolorchestratorcontroller exposes post api tools execute toolorchestratorcontroller api post toolorchestratorcontroller,api|POST|ToolOrchestratorController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-tools-id-execute,api-post-api-tools-id-execute post api tools id execute api-endpoint toolorchestratorcontroller api tools id execute unknown unknown backend unknown unknown high toolorchestratorcontroller exposes post api tools id execute toolorchestratorcontroller api post toolorchestratorcontroller,api|POST|ToolOrchestratorController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-tools-id-validate,api-post-api-tools-id-validate post api tools id validate api-endpoint toolorchestratorcontroller api tools id validate unknown unknown backend unknown unknown high toolorchestratorcontroller exposes post api tools id validate toolorchestratorcontroller api post toolorchestratorcontroller,api|POST|ToolOrchestratorController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-tools-results,api-post-api-tools-results post api tools results api-endpoint toolorchestratorcontroller api tools results unknown unknown backend unknown unknown high toolorchestratorcontroller exposes post api tools results toolorchestratorcontroller api post toolorchestratorcontroller,api|POST|ToolOrchestratorController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-training-runs,api-post-api-training-runs post api training runs api-endpoint trainingcontroller api training runs unknown unknown backend unknown unknown high trainingcontroller exposes post api training runs trainingcontroller api post trainingcontroller,api|POST|TrainingController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-training-runs-runid-evaluate,api-post-api-training-runs-runid-evaluate post api training runs runid evaluate api-endpoint trainingcontroller api training runs runid evaluate unknown unknown backend unknown unknown high trainingcontroller exposes post api training runs runid evaluate trainingcontroller api post trainingcontroller,api|POST|TrainingController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-two-factor-enable,api-post-api-two-factor-enable post api two-factor enable api-endpoint twofactorcontroller api two-factor enable unknown unknown backend unknown unknown high twofactorcontroller exposes post api two-factor enable twofactorcontroller api post twofactorcontroller,api|POST|TwoFactorController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-two-factor-verify,api-post-api-two-factor-verify post api two-factor verify api-endpoint twofactorcontroller api two-factor verify unknown unknown backend unknown unknown high twofactorcontroller exposes post api two-factor verify twofactorcontroller api post twofactorcontroller,api|POST|TwoFactorController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-workspaces,api-post-api-workspaces post api workspaces api-endpoint workspacescontroller api workspaces unknown unknown backend unknown unknown high workspacescontroller exposes post api workspaces workspacescontroller api post workspacescontroller,api|POST|WorkspacesController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-workspaces-active,api-post-api-workspaces-active post api workspaces active api-endpoint workspacescontroller api workspaces active unknown unknown backend unknown unknown high workspacescontroller exposes post api workspaces active workspacescontroller api post workspacescontroller,api|POST|WorkspacesController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-post-api-workspaces-workspaceid-invitations,api-post-api-workspaces-workspaceid-invitations post api workspaces workspaceid invitations api-endpoint workspacescontroller api workspaces workspaceid invitations unknown unknown backend unknown unknown high workspacescontroller exposes post api workspaces workspaceid invitations workspacescontroller api post workspacescontroller,api|POST|WorkspacesController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-put-api-drugs-id,api-put-api-drugs-id put api drugs id api-endpoint drugcontroller api drugs id unknown unknown backend unknown unknown high drugcontroller exposes put api drugs id drugcontroller api put drugcontroller,api|PUT|DrugController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-put-api-governance-ai-policies-policyid,api-put-api-governance-ai-policies-policyid put api governance ai policies policyid api-endpoint platformsystemscontroller api governance ai policies policyid unknown unknown backend unknown unknown high platformsystemscontroller exposes put api governance ai policies policyid platformsystemscontroller api put platformsystemscontroller,api|PUT|PlatformSystemsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-put-api-governance-ai-security-model-access-policyid,api-put-api-governance-ai-security-model-access-policyid put api governance ai-security model-access policyid api-endpoint platformsystemscontroller api governance ai-security model-access policyid unknown unknown backend unknown unknown high platformsystemscontroller exposes put api governance ai-security model-access policyid platformsystemscontroller api put platformsystemscontroller,api|PUT|PlatformSystemsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-put-api-governance-ai-security-rules-ruleid,api-put-api-governance-ai-security-rules-ruleid put api governance ai-security rules ruleid api-endpoint platformsystemscontroller api governance ai-security rules ruleid unknown unknown backend unknown unknown high platformsystemscontroller exposes put api governance ai-security rules ruleid platformsystemscontroller api put platformsystemscontroller,api|PUT|PlatformSystemsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-put-api-governance-clinical-policies-policyid,api-put-api-governance-clinical-policies-policyid put api governance clinical policies policyid api-endpoint platformsystemscontroller api governance clinical policies policyid unknown unknown backend unknown unknown high platformsystemscontroller exposes put api governance clinical policies policyid platformsystemscontroller api put platformsystemscontroller,api|PUT|PlatformSystemsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-put-api-governance-costs-budgets-budgetid,api-put-api-governance-costs-budgets-budgetid put api governance costs budgets budgetid api-endpoint platformsystemscontroller api governance costs budgets budgetid unknown unknown backend unknown unknown high platformsystemscontroller exposes put api governance costs budgets budgetid platformsystemscontroller api put platformsystemscontroller,api|PUT|PlatformSystemsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-put-api-governance-regulatory-capabilities-capabilityid-classification,api-put-api-governance-regulatory-capabilities-capabilityid-classification put api governance regulatory capabilities capabilityid classification api-endpoint platformsystemscontroller api governance regulatory capabilities capabilityid classification unknown unknown backend unknown unknown high platformsystemscontroller exposes put api governance regulatory capabilities capabilityid classification platformsystemscontroller api put platformsystemscontroller,api|PUT|PlatformSystemsController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
api-put-api-protocols-id,api-put-api-protocols-id put api protocols id api-endpoint protocolcontroller api protocols id unknown unknown backend unknown unknown high protocolcontroller exposes put api protocols id protocolcontroller api put protocolcontroller,api|PUT|ProtocolController,type:api-endpoint,role:unknown,workspace:backend,pack:unknown,1,0.8,0.7
apri,apri apri calculator calculator tools calculators apri core-platform product-core-platform clinical calculator operations emergency physician hospitalist nurse icu clinician medical student hospital medium ast to platelet ratio index fibrosis screening context does not diagnose cirrhosis or replace elastography imaging biopsy or hepatology review src pages tools calculators jsx toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js calculator calculator clinical operations core-platform,calculator|Calculator|clinical|operations|core-platform,type:calculator,role:emergency-physician|role:hospitalist|role:nurse|role:icu-clinician|role:medical-student,workspace:clinical|workspace:calculator|workspace:operations,pack:core-platform,7,0.5,0.62
arrhythmia-risk-classifier,arrhythmia-risk-classifier arrhythmia risk classifier tool diagnostic tools cardiology arrhythmia-risk-classifier cardiology-pack medical-iot-pack hospital-operations digital-twin-pack product-cardiology product-medical-iot product-hospital-operations product-digital-twin operations cardiology clinical diagnostic medical-iot maps biomedical engineer icu clinician nurse administrator cardiologist emergency physician hospitalist hospital high arrhythmia concern-level classifier using symptoms telemetry findings comorbidity context and escalation signals src pages tools cardiologyassistantpage jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js tool diagnostic operations cardiology clinical diagnostic medical-iot maps cardiology-pack medical-iot-pack hospital-operations digital-twin-pack,tool|Diagnostic|operations|cardiology|clinical|diagnostic|medical-iot|maps|cardiology-pack|medical-iot-pack|hospital-operations|digital-twin-pack,type:tool,role:biomedical-engineer|role:icu-clinician|role:nurse|role:administrator|role:cardiologist|role:emergency-physician|role:hospitalist,workspace:operations|workspace:cardiology|workspace:clinical|workspace:diagnostic|workspace:medical-iot|workspace:maps,pack:cardiology-pack|pack:medical-iot-pack|pack:hospital-operations|pack:digital-twin-pack,8,0.8,0.58
ascvd-risk,ascvd-risk ascvd 10-year risk calculator calculator tools calculators ascvd-risk cardiology-pack product-cardiology cardiology clinical calculator cardiologist emergency physician hospitalist hospital medium decision support acc aha pooled cohort equations for primary prevention ascvd risk age 40 79 does not recommend statins or other therapies src pages tools calculators jsx toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js calculator calculator cardiology clinical cardiology-pack,calculator|Calculator|cardiology|clinical|cardiology-pack,type:calculator,role:cardiologist|role:emergency-physician|role:hospitalist,workspace:cardiology|workspace:clinical|workspace:calculator,pack:cardiology-pack,7,0.5,0.62
asset-tracking-dashboard,asset-tracking-dashboard asset tracking dashboard dashboard hospital operations hospital-map medical-iot-pack hospital-operations digital-twin-pack product-medical-iot product-hospital-operations product-digital-twin operations medical-iot maps biomedical engineer icu clinician nurse administrator hospital low asset tracking dashboard for device locations freshness assignment alerts and floor-map visibility src pages hospitalmapdashboard jsx src services hospitalmapservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js map hospital operations operations medical-iot maps medical-iot-pack hospital-operations digital-twin-pack,map|Hospital Operations|operations|medical-iot|maps|medical-iot-pack|hospital-operations|digital-twin-pack,type:dashboard,role:biomedical-engineer|role:icu-clinician|role:nurse|role:administrator,workspace:operations|workspace:medical-iot|workspace:maps,pack:medical-iot-pack|pack:hospital-operations|pack:digital-twin-pack,8,0.2,0.8
asthma-exacerbation-assistant,asthma-exacerbation-assistant asthma exacerbation assistant tool calculator tools pulmonology asthma-exacerbation-assistant ai-workflow-pack core-platform laboratory-intelligence product-core-platform product-laboratory pharmacy clinical calculator assistant ai-workflow operations laboratory pharmacist hospitalist emergency physician nurse hospital medium guided asthma exacerbation review for severity features reassessment prompts and safety handoff does not diagnose or recommend medications disposition src pages tools pulmonologyassistantpage jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool calculator pharmacy clinical calculator assistant ai-workflow operations laboratory ai-workflow-pack core-platform laboratory-intelligence,ai-assisted-tool|Calculator|pharmacy|clinical|calculator|assistant|ai-workflow|operations|laboratory|ai-workflow-pack|core-platform|laboratory-intelligence,type:tool,role:pharmacist|role:hospitalist|role:emergency-physician|role:nurse,workspace:pharmacy|workspace:clinical|workspace:calculator|workspace:assistant|workspace:ai-workflow|workspace:operations|workspace:laboratory,pack:ai-workflow-pack|pack:core-platform|pack:laboratory-intelligence,8,0.5,0.58
asthma-severity-score,asthma-severity-score asthma severity score calculator calculator tools calculators asthma-severity-score core-platform product-core-platform clinical calculator operations emergency physician hospitalist nurse icu clinician medical student hospital medium acute asthma severity helper using pef spo2 respiratory rate speech work of breathing and life-threatening features src pages tools calculators jsx toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js calculator calculator clinical operations core-platform,calculator|Calculator|clinical|operations|core-platform,type:calculator,role:emergency-physician|role:hospitalist|role:nurse|role:icu-clinician|role:medical-student,workspace:clinical|workspace:calculator|workspace:operations,pack:core-platform,7,0.5,0.62
atls-protocol,atls-protocol atls protocol tool calculator protocols ai-workflow-pack core-platform emergency-medicine emergency-department-pack simulation-training-pack product-core-platform product-emergency-department product-simulation-training simulation education clinical training emergency calculator assistant ai-workflow operations emergency physician nurse medical student icu clinician biomedical engineer fleet operator hospitalist hospital medium trauma algorithms src pages tools protocols jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js tool calculator simulation education clinical training emergency calculator assistant ai-workflow operations ai-workflow-pack core-platform emergency-medicine emergency-department-pack simulation-training-pack,tool|Calculator|simulation|education|clinical|training|emergency|calculator|assistant|ai-workflow|operations|ai-workflow-pack|core-platform|emergency-medicine|emergency-department-pack|simulation-training-pack,type:tool,role:emergency-physician|role:nurse|role:medical-student|role:icu-clinician|role:biomedical-engineer|role:fleet-operator|role:hospitalist,workspace:simulation|workspace:education|workspace:clinical|workspace:training|workspace:emergency|workspace:calculator|workspace:assistant|workspace:ai-workflow|workspace:operations,pack:ai-workflow-pack|pack:core-platform|pack:emergency-medicine|pack:emergency-department-pack|pack:simulation-training-pack,8,0.5,0.58
atrial-fibrillation-assistant,atrial-fibrillation-assistant atrial fibrillation assistant tool calculator tools cardiology atrial-fibrillation-assistant ai-workflow-pack core-platform emergency-medicine emergency-department-pack cardiology-pack laboratory-intelligence product-core-platform product-emergency-department product-cardiology product-laboratory cardiology clinical emergency pharmacy calculator assistant ai-workflow operations laboratory cardiologist emergency physician hospitalist icu clinician nurse pharmacist hospital medium af decision-support workspace for stability review stroke bleeding score selection and clinician handoff prompts src pages tools cardiologyassistantpage jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js ai-assisted-tool calculator cardiology clinical emergency pharmacy calculator assistant ai-workflow operations laboratory ai-workflow-pack core-platform emergency-medicine emergency-department-pack cardiology-pack laboratory-intelligence,ai-assisted-tool|Calculator|cardiology|clinical|emergency|pharmacy|calculator|assistant|ai-workflow|operations|laboratory|ai-workflow-pack|core-platform|emergency-medicine|emergency-department-pack|cardiology-pack|laboratory-intelligence,type:tool,role:cardiologist|role:emergency-physician|role:hospitalist|role:icu-clinician|role:nurse|role:pharmacist,workspace:cardiology|workspace:clinical|workspace:emergency|workspace:pharmacy|workspace:calculator|workspace:assistant|workspace:ai-workflow|workspace:operations|workspace:laboratory,pack:ai-workflow-pack|pack:core-platform|pack:emergency-medicine|pack:emergency-department-pack|pack:cardiology-pack|pack:laboratory-intelligence,8,0.5,0.58
audit-c,audit-c audit-c calculator calculator tools calculators audit-c governance-compliance-pack product-governance admin calculator governance audit administrator hospital high screening only audit-c brief alcohol consumption screen 0 12 does not diagnose alcohol use disorder or provide withdrawal-management advice src pages tools calculators jsx toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js calculator calculator admin governance audit governance-compliance-pack,calculator|Calculator|admin|governance|audit|governance-compliance-pack,type:calculator,role:administrator,workspace:admin|workspace:calculator|workspace:governance|workspace:audit,pack:governance-compliance-pack,7,0.8,0.62
audit-trail-ai,audit-trail-ai audit trail ai governance governance tools audit-trail-ai ai-workflow-pack core-platform governance-compliance-pack product-core-platform product-governance admin assistant ai-workflow clinical operations governance audit administrator hospital high summarize tool and ai usage logs for review while preserving raw audit records api clinical-intelligence audit-trail summarize src pages platform platformsystempage jsx src services platformsystemsapi js platformsystemsexpansionplan test js routepagessmoke test jsx app permissions test jsx platformresponsive test jsx governance governance admin assistant ai-workflow clinical operations audit ai-workflow-pack core-platform governance-compliance-pack,governance|Governance|admin|assistant|ai-workflow|clinical|operations|audit|ai-workflow-pack|core-platform|governance-compliance-pack,type:governance,role:administrator,workspace:admin|workspace:assistant|workspace:ai-workflow|workspace:clinical|workspace:operations|workspace:governance|workspace:audit,pack:ai-workflow-pack|pack:core-platform|pack:governance-compliance-pack,7,0.8,0.6
audit-trail-spine,audit-trail-spine audit trail spine governance other audit ai-workflow-pack core-platform governance-compliance-pack product-core-platform product-governance admin assistant ai-workflow clinical operations governance audit administrator hospital high standardize audit events across ai phi governance review consent integrations and deployments api audit events src pages platform platformgovernanceworkspace jsx src services platformsystemsapi js platformsystemsexpansionplan test js routepagessmoke test jsx app permissions test jsx platformresponsive test jsx governance other admin assistant ai-workflow clinical operations audit ai-workflow-pack core-platform governance-compliance-pack,governance|Other|admin|assistant|ai-workflow|clinical|operations|audit|ai-workflow-pack|core-platform|governance-compliance-pack,type:governance,role:administrator,workspace:admin|workspace:assistant|workspace:ai-workflow|workspace:clinical|workspace:operations|workspace:governance|workspace:audit,pack:ai-workflow-pack|pack:core-platform|pack:governance-compliance-pack,7,0.8,0.6
bed-occupancy-calculator,bed-occupancy-calculator bed occupancy calculator calculator calculator tools calculators bed-occupancy-calculator emergency-medicine emergency-department-pack hospital-operations digital-twin-pack product-emergency-department product-hospital-operations product-digital-twin operations emergency clinical calculator maps administrator icu clinician nurse biomedical engineer emergency physician hospitalist hospital medium hospital operations calculator for occupied beds blocked beds usable beds and occupancy percentage operations support only no admission discharge transfer or clinical triage decisions src pages tools calculators jsx toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js calculator calculator operations emergency clinical maps emergency-medicine emergency-department-pack hospital-operations digital-twin-pack,calculator|Calculator|operations|emergency|clinical|maps|emergency-medicine|emergency-department-pack|hospital-operations|digital-twin-pack,type:calculator,role:administrator|role:icu-clinician|role:nurse|role:biomedical-engineer|role:emergency-physician|role:hospitalist,workspace:operations|workspace:emergency|workspace:clinical|workspace:calculator|workspace:maps,pack:emergency-medicine|pack:emergency-department-pack|pack:hospital-operations|pack:digital-twin-pack,7,0.5,0.62
behavioral-analytics-dashboard,behavioral-analytics-dashboard behavioral analytics dashboard tool reference tools psychiatry behavioral-analytics-dashboard research-education product-research research reference education researcher medical student hospitalist hospital low dashboard concept for behavioral-health screening volumes positive-screen queues follow-up status and safety-review gaps src pages tools psychiatryassistantpage jsx src services clinicalchatservice js toolinventory test js clinicaltoolidcontract test js clinicaltoolaliassync test js medicaltoolscatalogindex test js medicalexpansioncrosspackvalidation test js clinicalcataloglaunch test js tool reference research reference education research-education,tool|Reference|research|reference|education|research-education,type:tool,role:researcher|role:medical-student|role:hospitalist,workspace:research|workspace:reference|workspace:education,pack:research-education,8,0.2,0.58
bias-finding-review,bias-finding-review bias finding review tool other governance equity findings governance-compliance-pack product-governance admin governance audit administrator hospital high queue and review equity or bias findings before any governance-approved remediation api governance equity findings src pages platform platformgovernanceworkspace jsx src services platformsystemsapi js platformsystemsexpansionplan test js routepagessmoke test jsx app permissions test jsx platformresponsive test jsx tool other admin governance audit governance-compliance-pack,tool|Other|admin|governance|audit|governance-compliance-pack,type:tool,role:administrator,workspace:admin|workspace:governance|workspace:audit,pack:governance-compliance-pack,7,0.8,0.82
